,0.001,0.01,1.0,10.0
341.70854271356785,249.917911,345.6346,407.487,-320.7
346.73366834170855,362.63856200000004,339.75707,517.284,-140.866
351.75879396984925,592.62266,419.62068,549.968,-272.248
356.78391959799,740.227477,508.53708000000006,445.045,-282.124
361.8090452261307,368.08723899999995,305.7958,483.259,-404.616
366.8341708542714,595.604735,498.74291,203.63,-357.558
371.8592964824121,507.12805099999997,329.26716000000005,367.443,-287.59
376.8844221105528,393.05080599999997,208.89712,307.129,-128.43
381.9095477386935,246.30959000000001,281.45486999999997,324.831,-293.992
386.9346733668342,421.096558,249.25957999999997,555.01,-305.112
391.9597989949749,380.301429,449.5419999999999,375.164,-393.926
396.9849246231156,204.34735999999998,265.60484,348.92,-177.772
402.0100502512563,359.673249,200.28320000000002,274.718,-454.306
407.035175879397,461.22551300000003,267.34692,579.729,-87.404
412.0603015075377,447.68514500000003,530.88286,295.513,-249.536
417.0854271356784,461.890966,703.0065,272.297,-275.068
422.11055276381916,502.593765,323.94964,396.877,-206.856
427.13567839195986,242.183818,322.82872000000003,255.695,-221.834
432.16080402010056,403.90318299999996,315.56981999999994,235.836,-175.706
437.18592964824126,200.84026200000002,300.29316000000006,378.736,-233.558
442.21105527638196,222.06043599999998,449.35114,432.584,-493.424
447.23618090452266,375.48744300000004,253.53886000000003,129.204,-343.026
452.26130653266335,525.2119040000001,527.0686999999999,265.153,-293.14
457.28643216080405,415.127177,255.80174,245.955,-251.606
462.31155778894475,318.190473,294.89831,494.259,-432.56
467.33668341708545,359.30719700000003,273.9253,361.635,-215.936
472.36180904522615,628.744466,422.89853,252.451,-298.788
477.38693467336685,156.289475,295.38432,416.927,-355.392
482.4120603015076,382.65386900000004,510.3612,454.507,-472.118
487.4371859296483,452.839508,310.60159999999996,216.815,-365.78
492.462311557789,381.289306,693.2786200000002,368.565,-264.22
497.4874371859297,613.567253,317.34132,179.101,-141.96
502.5125628140704,206.958967,280.46504000000004,362.03,-165.7
507.5376884422111,261.837197,275.09123999999997,356.534,-269.32
512.5628140703518,403.5786529999999,474.39673999999997,186.134,-287.762
517.5879396984925,398.307033,262.5464,486.35,-350.54
522.6130653266332,670.677956,216.88770000000002,212.106,-320.772
527.6381909547739,353.897875,352.95654,281.289,-415.624
532.6633165829146,548.35135,393.52331999999996,288.971,-328.99
537.6884422110553,364.59212799999995,365.24886,170.835,-226.522
542.713567839196,356.562898,325.86992,252.2,-303.674
547.7386934673367,297.921057,450.88895999999994,423.823,-255.078
552.7638190954774,390.5310370000001,595.79498,421.431,-309.276
557.7889447236181,514.7385750000001,219.32451999999998,400.704,-352.3
562.8140703517588,244.40960900000002,309.04064,330.297,-265.37
567.8391959798995,322.847644,480.0394999999999,203.037,-160.3
572.8643216080402,624.06597,243.64175,265.041,-362.404
577.8894472361809,181.813317,391.98814000000004,280.942,-174.282
582.9145728643217,343.25893099999996,569.14964,240.557,-291.986
587.9396984924624,306.415186,532.17362,303.53,-255.144
592.9648241206031,171.706719,313.29434000000003,325.189,-274.842
597.9899497487438,395.037462,485.9383200000001,192.109,-181.698
603.0150753768845,383.349997,422.63890000000004,835.779,-349.482
608.0402010050252,278.828652,398.78476,271.085,-364.058
613.0653266331659,273.41774399999997,615.61332,404.005,-351.706
618.0904522613066,587.622159,510.8189,261.443,-145.278
623.1155778894473,574.4455829999999,289.12769999999995,562.406,-181.94
628.140703517588,193.50849100000002,256.54518,256.185,-309.434
633.1658291457287,327.078461,237.241,181.649,-271.438
638.1909547738694,352.8921900000001,344.65252000000004,335.257,-197.226
643.2160804020101,328.47268,476.65614,348.422,-66.99
648.2412060301508,231.40856200000005,270.36073999999996,381.448,-323.27
653.2663316582915,495.621713,699.74824,260.082,-311.498
658.2914572864322,625.1132389999999,371.91338,168.16,-400.808
663.3165829145729,461.04754799999995,493.10856,215.471,-317.002
668.3417085427136,773.3920439999999,319.74494,283.869,-286.386
673.3668341708543,391.350341,454.29916000000003,328.533,-255.532
678.391959798995,521.9753129999999,336.80544000000003,172.781,-490.45
683.4170854271357,477.88257200000004,350.54902000000004,225.309,-391.274
688.4422110552764,603.424404,260.98206000000005,427.49,-157.466
693.4673366834171,300.07607700000005,303.98174,407.559,-174.36
698.4924623115578,231.420184,371.41222,365.168,-251.842
703.5175879396985,218.04471900000001,487.77618,390.174,-210.152
708.5427135678393,287.016091,267.53366000000005,200.079,-273.46
713.56783919598,567.063155,342.28256000000005,315.936,-94.804
718.5929648241207,373.38776600000006,269.34389999999996,580.067,-112.822
723.6180904522614,535.116028,368.03096,674.809,-214.572
728.6432160804021,283.42328499999996,279.8726,267.062,-288.508
733.6683417085428,271.069601,326.36604000000005,321.753,-159.01
738.6934673366835,196.85877999999997,381.36812000000003,329.21,-205.256
743.7185929648242,265.76605199999995,328.45152,494.549,-269.322
748.7437185929649,379.8952289999999,456.82152,189.741,-237.95
753.7688442211056,279.467265,250.46974,370.974,-255.67
758.7939698492463,270.74258100000003,572.32796,357.695,-295.368
763.819095477387,517.294486,385.07251999999994,454.838,-282.698
768.8442211055277,388.308447,715.1163,520.303,-384.86
773.8693467336684,452.703708,407.16765999999996,468.229,-282.036
778.8944723618091,344.12946,213.05840000000003,228.792,-374.416
783.9195979899498,386.685386,452.10708,342.236,-120.178
788.9447236180905,380.901449,302.04132,512.486,-141.896
793.9698492462312,288.452593,422.45814,349.696,-344.558
798.9949748743719,390.948424,480.14034000000004,371.937,-249.068
804.0201005025126,388.459038,251.58812,365.727,-328.982
809.0452261306533,299.55258299999997,306.04548,578.364,-135.36
814.070351758794,493.616125,506.44157999999993,287.377,-282.882
819.0954773869347,320.072335,369.83916000000005,510.222,-296.794
824.1206030150754,473.8013250000001,302.07858,439.55,-207.344
829.1457286432161,372.872955,447.1526,468.641,-287.524
834.1708542713568,337.36726400000003,275.12964,353.595,-156.718
839.1959798994976,471.18387199999995,215.19966,437.107,-131.254
844.2211055276383,369.974314,482.05632,230.519,-123.618
849.246231155779,409.41869499999996,836.13352,406.423,-217.264
854.2713567839197,367.67522399999996,575.2333000000001,415.842,-191.236
859.2964824120604,235.78413700000002,460.84736,184.693,-481.474
864.3216080402011,396.4997139999999,604.1273400000001,354.336,-271.784
869.3467336683418,206.97914799999998,637.56132,219.938,-332.096
874.3718592964825,262.33158299999997,444.26462,336.942,-264.874
879.3969849246232,226.254341,486.47330000000005,346.084,-140.956
884.4221105527639,327.208313,298.55344,360.53,-468.54
889.4472361809046,380.73916900000006,398.31628,662.046,-147.318
894.4723618090453,375.515018,518.391,403.649,-269.706
899.497487437186,690.245294,400.79332,315.565,-337.028
904.5226130653267,311.74990399999996,496.12798,321.159,-277.096
909.5477386934674,561.700642,380.68661999999995,378.954,-308.72
914.5728643216081,609.232438,270.08294,234.478,-335.794
919.5979899497488,305.629386,532.72416,379.235,-276.854
924.6231155778895,291.50087199999996,245.44423999999998,343.711,-236.418
929.6482412060302,728.669853,457.03482,347.995,-319.882
934.6733668341709,239.433009,477.80265999999995,485.279,-255.144
939.6984924623116,249.17497699999998,243.71640000000002,540.541,-142.616
944.7236180904523,478.19255899999996,561.33596,350.474,-348.366
949.748743718593,453.67824799999994,433.71412,365.448,-286.398
954.7738693467337,391.808098,434.89468000000005,250.124,-270.03
959.7989949748744,350.12175399999995,224.89378,472.765,-206.31
964.8241206030152,459.89685099999997,348.80566000000005,159.404,-377.556
969.8492462311559,196.85356099999998,658.5372600000001,395.709,-332.39
974.8743718592966,470.27508900000004,439.19223999999997,332.084,-243.926
979.8994974874373,390.72463300000004,153.5383,470.219,-333.982
984.924623115578,322.691593,510.2843199999999,603.409,-208.652
989.9497487437187,476.101879,225.94174,493.905,-242.072
994.9748743718594,515.891908,333.28232,493.232,-431.976
1000.0,539.1497239999999,294.19674,246.66,-189.306
