,0.01,0.1,1.0,10.0,100.0
16.08040201005025,319.81676,397.3305,136.993,-455.574,-6376.404
16.58291457286432,439.80836000000005,471.10079999999994,366.924,-171.984,-6540.102
17.08542713567839,319.36620999999997,419.9966,393.397,-252.652,-5522.326
17.587939698492463,596.69258,357.1464,691.22,-264.698,-6117.28
18.09045226130653,315.7842,277.1935,355.57,-74.172,-4642.998
18.5929648241206,347.50230999999997,365.6531,494.287,-276.64,-6499.99
19.09547738693467,403.59524,459.8465,308.287,-171.612,-6137.452
19.597989949748744,567.38405,679.0081,366.635,-301.626,-6387.564
20.100502512562812,613.16216,352.00730000000004,298.763,-176.816,-7594.33
20.60301507537688,649.57494,391.18940000000003,190.662,-289.884,-7060.824
21.105527638190953,266.99466,445.52869999999996,261.591,-132.846,-5709.282
21.608040201005025,370.37877000000003,316.0649,325.883,-312.428,-5338.87
22.110552763819094,437.99165999999997,246.48630000000003,380.052,-262.932,-5522.51
22.613065326633162,291.7621,458.91119999999995,303.521,-333.008,-6212.758
23.115577889447234,258.32453999999996,983.883,219.533,-266.658,-6934.25
23.618090452261306,728.7499,532.3488000000001,256.439,-158.298,-7093.57
24.120603015075375,469.53329,361.61639999999994,163.11,-351.68,-7164.632
24.623115577889443,344.83926999999994,161.5314,298.999,-237.466,-6085.94
25.125628140703515,429.6896300000001,414.97419999999994,220.307,-15.632,-5124.582
25.628140703517587,389.65214000000003,536.8548,378.623,-385.448,-4581.764
26.130653266331656,252.90707,382.74589999999995,299.256,-313.526,-6072.698
26.633165829145725,486.41874,283.1973,280.976,-359.836,-4700.572
27.135678391959797,285.10753000000005,467.56559999999996,705.87,-247.452,-4387.422
27.63819095477387,311.26570999999996,252.5431,476.162,-190.32,-7082.666
28.140703517587937,302.91188,518.2365,191.457,-287.914,-6543.45
28.643216080402006,338.79981999999995,176.88459999999998,372.106,-27.352,-4499.176
29.145728643216078,304.73314,392.01340000000005,254.761,-239.224,-5449.3
29.64824120603015,396.75682,232.73140000000004,254.856,-203.216,-5467.544
30.15075376884422,288.73075,403.8678,292.735,-254.354,-7488.146
30.653266331658287,398.27939000000003,248.383,570.937,-216.934,-8698.482
31.15577889447236,281.91874,397.9506,260.689,-313.61,-5987.792
31.65829145728643,431.62362,228.13170000000002,452.866,-293.928,-6704.068
32.1608040201005,668.1443399999999,487.5217,705.802,-497.664,-5176.916
32.66331658291457,300.02883,278.22679999999997,245.262,-274.112,-5682.124
33.16582914572864,632.8461799999999,260.94440000000003,252.883,-137.232,-6188.412
33.66834170854271,401.84181000000007,380.9019,193.77,-263.292,-5220.95
34.17085427135678,427.15735,308.959,247.622,-226.422,-5901.12
34.67336683417085,465.86659,513.2838,204.839,-254.924,-7220.798
35.175879396984925,443.99438,391.0444,575.521,-316.764,-4908.774
35.678391959798994,654.52332,479.31269999999995,255.645,-200.99,-5244.824
36.18090452261306,562.21577,369.4504,268.947,-246.044,-6652.248
36.68341708542713,247.40431000000004,455.98159999999996,324.232,-214.178,-5904.568
37.1859296482412,449.44532999999996,339.255,211.076,-255.582,-5303.326
37.688442211055275,275.87193,372.7154,325.51,-196.994,-6324.38
38.19095477386934,284.39416000000006,325.8456,287.595,-147.96,-6549.666
38.69346733668341,375.97382999999996,308.54460000000006,508.717,-137.396,-6996.962
39.19597989949749,313.32597,687.038,268.637,-306.884,-6339.608
39.698492462311556,479.54787,419.84369999999996,173.475,-170.648,-6371.49
40.201005025125625,304.42172999999997,483.3778,466.156,-330.36,-5120.482
40.70351758793969,359.50006,564.1062,416.976,-213.428,-5194.984
41.20603015075376,325.91979000000003,179.8318,518.526,-161.136,-4108.484
41.70854271356784,252.20030000000003,258.8136,176.743,-146.468,-5743.148
42.211055276381906,291.75228000000004,626.8788,533.068,-125.014,-6359.376
42.713567839195974,346.84452000000005,292.433,314.479,-261.456,-6355.7
43.21608040201005,372.48994,447.2599,325.429,-265.204,-6539.852
43.71859296482412,348.56753999999995,243.51439999999997,240.831,-459.51,-5755.756
44.22110552763819,488.467,381.3392,371.886,-192.676,-6433.594
44.723618090452256,531.4654199999999,391.30019999999996,285.995,-294.2,-6356.896
45.226130653266324,280.93243999999993,282.0096,306.59,-222.94,-5863.578
45.7286432160804,346.7738,517.5307999999999,291.589,-245.378,-6968.458
46.23115577889447,536.34811,446.83080000000007,496.93,-197.126,-5215.654
46.73366834170854,341.21009,419.278,425.623,-149.786,-6930.266
47.23618090452261,290.14843999999994,531.893,404.746,-148.186,-5692.438
47.73869346733668,199.3192,236.172,405.187,-113.054,-6473.472
48.24120603015075,440.60275999999993,258.1095,391.676,-239.3,-5631.966
48.74371859296482,391.22644999999994,245.64339999999999,245.606,-351.972,-4914.248
49.24623115577889,395.87096,365.479,289.755,-254.08,-5691.29
49.74874371859296,574.7249899999999,243.3324,357.777,-412.28,-5934.37
50.25125628140703,373.7099,599.8222,181.716,-377.42,-6011.178
50.7537688442211,367.62271999999996,241.8394,496.041,-346.552,-5544.274
51.256281407035175,218.01065,764.0276,321.662,-301.178,-7275.94
51.75879396984924,458.10557,317.32120000000003,434.392,-78.396,-7869.758
52.26130653266331,358.88565,439.07340000000005,405.443,-172.208,-6733.356
52.76381909547738,321.15651,381.0602,304.647,-343.018,-5367.808
53.26633165829145,466.01765,458.34080000000006,223.555,-388.782,-6186.034
53.768844221105525,394.15786,341.65580000000006,366.866,-355.2,-6783.402
54.27135678391959,399.2295500000001,342.589,302.385,-338.284,-6625.276
54.77386934673366,235.86325,500.799,150.507,-89.722,-6998.802
55.27638190954774,350.66571999999996,204.6382,404.307,-266.838,-5334.358
55.778894472361806,336.137,504.22380000000004,390.483,-286.354,-6203.676
56.281407035175874,351.89363,366.8166,623.374,-198.13,-4577.438
56.78391959798994,415.14333999999997,246.47359999999998,193.641,-211.456,-7496.582
57.28643216080401,457.76766000000003,300.0742,310.659,-254.39,-5858.064
57.78894472361809,256.78406,330.4788,350.696,-116.112,-5225.998
58.291457286432156,319.85585000000003,202.926,368.539,-256.594,-6871.552
