,miji,r_eno,t_eno,r_izo,t_izo
210,4.608695652173913,0.723,0.277,0.8085,0.1915
211,4.6521739130434785,0.72425,0.27575,0.8095,0.1905
212,4.695652173913043,0.71775,0.28225,0.79475,0.20525
213,4.739130434782608,0.725,0.275,0.79275,0.20725
214,4.782608695652174,0.7105,0.2895,0.8075,0.1925
215,4.826086956521739,0.725,0.275,0.80375,0.19625
216,4.869565217391305,0.72925,0.27075,0.8005,0.1995
217,4.913043478260869,0.7325,0.2675,0.79375,0.20625
218,4.956521739130435,0.7235,0.2765,0.7975,0.2025
219,5.0,0.7255,0.2745,0.79425,0.20575
