,miji,rji,tji
248,1.6605685618729096,0.391,0.609
249,1.6672240802675584,0.394,0.606
250,1.6738795986622073,0.415,0.585
251,1.680535117056856,0.387,0.613
252,1.687190635451505,0.401,0.599
253,1.6938461538461538,0.384,0.616
254,1.7005016722408026,0.373,0.627
255,1.7071571906354515,0.368,0.632
256,1.7138127090301003,0.4,0.6
257,1.7204682274247491,0.364,0.636
258,1.727123745819398,0.382,0.618
259,1.7337792642140468,0.408,0.592
260,1.7404347826086957,0.375,0.625
261,1.7470903010033445,0.422,0.578
262,1.7537458193979933,0.393,0.607
263,1.7604013377926422,0.39,0.61
264,1.767056856187291,0.413,0.587
265,1.7737123745819399,0.388,0.612
266,1.7803678929765885,0.388,0.612
267,1.7870234113712373,0.367,0.633
268,1.7936789297658862,0.375,0.625
269,1.800334448160535,0.41,0.59
270,1.8069899665551838,0.387,0.613
271,1.8136454849498327,0.375,0.625
272,1.8203010033444815,0.404,0.596
273,1.8269565217391304,0.358,0.642
274,1.8336120401337792,0.416,0.584
275,1.840267558528428,0.399,0.601
276,1.846923076923077,0.393,0.607
277,1.8535785953177257,0.405,0.595
278,1.8602341137123746,0.383,0.617
279,1.8668896321070234,0.4,0.6
280,1.8735451505016723,0.392,0.608
281,1.880200668896321,0.407,0.593
282,1.88685618729097,0.396,0.604
283,1.8935117056856188,0.406,0.594
284,1.9001672240802676,0.391,0.609
285,1.9068227424749165,0.394,0.606
286,1.913478260869565,0.401,0.599
287,1.920133779264214,0.386,0.614
288,1.9267892976588628,0.36,0.64
289,1.9334448160535116,0.395,0.605
290,1.9401003344481604,0.394,0.606
291,1.9467558528428093,0.397,0.603
292,1.9534113712374581,0.406,0.594
293,1.960066889632107,0.402,0.598
294,1.9667224080267558,0.379,0.621
295,1.9733779264214046,0.389,0.611
296,1.9800334448160535,0.376,0.624
297,1.9866889632107023,0.418,0.582
298,1.9933444816053512,0.417,0.583
299,2.0,0.381,0.619
300,2.0,0.412,0.588
301,2.0303030303030303,0.387,0.613
302,2.0606060606060606,0.389,0.611
303,2.090909090909091,0.371,0.629
304,2.121212121212121,0.371,0.629
305,2.1515151515151514,0.425,0.575
306,2.1818181818181817,0.389,0.611
307,2.212121212121212,0.415,0.585
308,2.242424242424242,0.407,0.593
309,2.2727272727272725,0.427,0.573
310,2.303030303030303,0.399,0.601
311,2.3333333333333335,0.411,0.589
312,2.3636363636363638,0.399,0.601
313,2.393939393939394,0.405,0.595
314,2.4242424242424243,0.413,0.587
315,2.4545454545454546,0.421,0.579
316,2.484848484848485,0.407,0.593
317,2.515151515151515,0.421,0.579
318,2.5454545454545454,0.415,0.585
319,2.5757575757575757,0.41,0.59
320,2.606060606060606,0.416,0.584
321,2.6363636363636362,0.435,0.565
322,2.666666666666667,0.414,0.586
323,2.6969696969696972,0.43,0.57
324,2.7272727272727275,0.443,0.557
325,2.757575757575758,0.418,0.582
326,2.787878787878788,0.439,0.561
327,2.8181818181818183,0.436,0.564
328,2.8484848484848486,0.437,0.563
329,2.878787878787879,0.456,0.544
330,2.909090909090909,0.439,0.561
331,2.9393939393939394,0.401,0.599
332,2.9696969696969697,0.445,0.555
333,3.0,0.43,0.57
334,3.0303030303030303,0.421,0.579
335,3.0606060606060606,0.43,0.57
336,3.090909090909091,0.433,0.567
337,3.121212121212121,0.432,0.568
338,3.1515151515151514,0.439,0.561
339,3.1818181818181817,0.413,0.587
340,3.212121212121212,0.424,0.576
341,3.242424242424242,0.444,0.556
342,3.2727272727272725,0.452,0.548
343,3.3030303030303028,0.448,0.552
344,3.3333333333333335,0.429,0.571
345,3.3636363636363638,0.402,0.598
346,3.393939393939394,0.455,0.545
347,3.4242424242424243,0.434,0.566
348,3.4545454545454546,0.428,0.572
349,3.484848484848485,0.428,0.572
350,3.515151515151515,0.427,0.573
351,3.5454545454545454,0.418,0.582
352,3.5757575757575757,0.43,0.57
353,3.6060606060606064,0.44,0.56
354,3.6363636363636367,0.432,0.568
355,3.666666666666667,0.449,0.551
356,3.6969696969696972,0.445,0.555
357,3.7272727272727275,0.435,0.565
358,3.757575757575758,0.432,0.568
359,3.787878787878788,0.463,0.537
360,3.8181818181818183,0.441,0.559
361,3.8484848484848486,0.418,0.582
362,3.878787878787879,0.432,0.568
363,3.909090909090909,0.435,0.565
364,3.9393939393939394,0.442,0.558
365,3.9696969696969697,0.46,0.54
366,4.0,0.434,0.566
367,4.03030303030303,0.485,0.515
368,4.0606060606060606,0.452,0.548
369,4.090909090909091,0.415,0.585
370,4.121212121212121,0.437,0.563
371,4.151515151515151,0.458,0.542
372,4.181818181818182,0.444,0.556
373,4.212121212121213,0.446,0.554
374,4.242424242424242,0.445,0.555
375,4.272727272727273,0.45,0.55
376,4.303030303030303,0.439,0.561
377,4.333333333333334,0.447,0.553
378,4.363636363636363,0.435,0.565
379,4.3939393939393945,0.453,0.547
380,4.424242424242424,0.454,0.546
381,4.454545454545455,0.457,0.543
382,4.484848484848484,0.465,0.535
383,4.515151515151516,0.438,0.562
384,4.545454545454545,0.463,0.537
385,4.575757575757576,0.439,0.561
386,4.6060606060606055,0.428,0.572
387,4.636363636363637,0.461,0.539
388,4.666666666666667,0.457,0.543
389,4.696969696969697,0.452,0.548
390,4.7272727272727275,0.43,0.57
391,4.757575757575758,0.436,0.564
392,4.787878787878788,0.472,0.528
393,4.818181818181818,0.435,0.565
394,4.848484848484849,0.466,0.534
395,4.878787878787879,0.452,0.548
396,4.909090909090909,0.422,0.578
397,4.9393939393939394,0.463,0.537
398,4.96969696969697,0.42,0.58
399,5.0,0.455,0.545
